,0
Bosnia and Herzegovina,23874
Iran,159500
Saudi Arabia,29989
Turkey,102650
Yemen,18825
Afghanistan,59602
Bangladesh,61865
India,495163
Indonesia,74046
Malaysia,74703
Pakistan,133321
Eritrea,7001
Ethiopia,27405
Japan,332114
Netherlands,130974
United Kingdom,191297
Estonia,29514
Portugal,76532
Sweden,126697
United States,1244397
Austria,104201
France,492881
China,368564
Canada,452442
Mexico,240442
Morocco,34044
Australia,503270
Germany,417702
Israel,162051
Uganda,33627
Thailand,65486
Ecuador,28685
Italy,249573
Jordan,74916
Iraq,83055
Bhutan,11381
Palau,5619
Qatar,22714
Denmark,84000
Egypt,97767
Vietnam,101258
Angola,19536
New Zealand,248162
Iceland,30465
Slovakia,27617
Azerbaijan,46895
Ireland,286948
Georgia,160827
Hungary,81639
Romania,65722
Russia,227025
Greece,92386
Guatemala,22809
South Africa,130841
Kuwait,18278
Cuba,53079
Panama,38472
Lebanon,43633
Taiwan,65507
Belgium,84436
Spain,212529
Switzerland,100703
Poland,195945
Lithuania,33613
Colombia,50270
El Salvador,13305
Brazil,137384
Mozambique,14965
Singapore,94186
Argentina,86767
Chile,58608
Paraguay,18077
Peru,51806
Uruguay,24807
Papua New Guinea,17492
Guinea,53480
Samoa,16663
Belarus,21299
Venezuela,43709
Honduras,17133
Jamaica,38042
Nigeria,56041
Syria,53381
Nepal,47720
Benin,9469
Cyprus,32811
Luxembourg,26973
Norway,109586
Croatia,47463
North Korea,21884
Cape Verde,7336
Libya,21407
Tonga,10237
Ukraine,78420
Moldova,13737
Liechtenstein,6626
Kazakhstan,24215
Laos,15115
Philippines,105676
Madagascar,23321
Kosovo,24576
Oman,13665
Ghana,37674
South Korea,57427
Mali,14762
Senegal,14623
Serbia,57766
Malta,32689
Turkmenistan,7340
Belize,10742
Saint Kitts and Nevis,1765
Tunisia,19673
Bulgaria,45775
Armenia,32089
Nicaragua,15529
Montenegro,21328
Dominican Republic,16786
Bahamas,12575
Finland,69497
Monaco,16015
Trinidad and Tobago,11172
Costa Rica,23159
Maldives,7731
Myanmar,23737
United Arab Emirates,14169
South Sudan,7028
Sudan,29546
Bolivia,23958
Zambia,14953
Algeria,26741
Kenya,47106
Latvia,21934
Burkina Faso,9143
Zimbabwe,26770
Gabon,7779
Namibia,16318
Sri Lanka,56887
Equatorial Guinea,4574
Chad,22059
Slovenia,30660
Palestine,39401
Niger,13140
Seychelles,6168
Vanuatu,6358
Dominica,4779
Cameroon,18688
Barbados,13240
Togo,7214
Kyrgyzstan,8434
Sierra Leone,15555
Central African Republic,5357
Haiti,21012
Tanzania,23734
Guyana,11020
Suriname,7290
Botswana,10727
Burundi,6038
Djibouti,5071
Malawi,12189
Rwanda,12624
Somalia,16831
Mongolia,18667
Brunei,10712
Albania,31713
East Timor,5826
Saint Lucia,2998
Gambia,6777
Andorra,5375
Mauritius,12104
Liberia,12353
Micronesia,3345
Marshall Islands,4200
Cambodia,21606
Republic of the Congo,13602
Guinea-Bissau,3283
Tajikistan,8328
Fiji,23409
San Marino,5936
Mauritania,5772
Lesotho,5083
Uzbekistan,13151
Grenada,6067
Democratic Republic of the Congo,11213
Nauru,3437
North Macedonia,6660
Tuvalu,3977
Solomon Islands,9172
Kiribati,2884
Eswatini,1640
Bahrain,15124
Comoros,3087
Saint Vincent and the Grenadines,1661
Vatican City,2478
Antigua and Barbuda,2714
Cote d'Ivoire,260
Czechia,272
Sao Tome and Principe,59
